Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Total Funding Amount
Spruce Holdings,https://www.crunchbase.com/organization/spruce-holdings,"Financial Services, Insurance, InsurTech, Property Insurance, Real Estate","New York, New York, United States",Spruce Holdings aims to improve title insurance assessment and issuance to reduce the time needed to close a real estate deal.,"14,090",https://www.spruce.co/,https://www.linkedin.com/company-beta/10915012/,contact@spruce.co,(888)665-7535,"Andrew Weisgall, Patrick Burns",1-10,2,Early Stage Venture,2017-05-25,"$4,500,000","$5,500,000"
Culinary Agents,https://www.crunchbase.com/organization/culinary-agents,"Hospitality, Human Resources, Recruiting, Restaurants","New York, New York, United States","Job matching and career development for the food, bev & hospitality industry","14,432",http://culinaryagents.com,http://www.linkedin.com/company/culinary-agents,info@culinaryagents.com,,"Alice Cheng, Jun Seok Yoon, Raymond Chan",1-10,3,Early Stage Venture,2015-04-27,"$3,000,000","$4,250,000"
DROPIT INC.,https://www.crunchbase.com/organization/dropit-inc,"Advertising Platforms, Retail Technology","Miami, Florida, United States",DROPIT INC. is a technology company changing the way consumers engage with brands.,"14,544",https://www.dropit.xyz,https://www.linkedin.com/company/17891813/,brendan@websofthq.com,,"Brendan Howell, Peter Howell",11-50,1,Early Stage Venture,2017-10-13,"$3,600,000","$3,600,000"
Struq,https://www.crunchbase.com/organization/struq,"Ad Retargeting, Advertising, Marketing","New York, New York, United States",Struq is an ad personalization platform delivering sales to e-commerce advertisers through personalized retargeting.,"14,627",http://www.struq.com,http://www.linkedin.com/company/struq,info@struq.com,+44 71219750,Sam Barnett,11-50,1,M&A,2012-04-19,"$8,500,000","$8,500,000"
Entrupy,https://www.crunchbase.com/organization/entrupy,"Enterprise Software, Hardware, Security, Software","New York, New York, United States",Entrupy enables businesses to instantly authenticate high value goods.,"15,174",http://www.entrupy.com,https://www.linkedin.com/company/entrupy,support@entrupy.com,,"Ashlesh Sharma, Lakshminarayana Subramanian, Vidyuth Srinivasan",1-10,1,Early Stage Venture,2017-07-12,"$2,600,000","$2,600,000"
SprinkleBit,https://www.crunchbase.com/organization/sprinklebit,"Financial Services, FinTech, Impact Investing, Personal Finance, Social Media","New York, New York, United States","SprinkleBit is a social investing platform that connects people to the information, tools, and community support they need to invest wisely.","15,193",http://www.sprinklebit.com,http://www.linkedin.com/company/sprinklebit,,,Alexander Wallin,11-50,7,Early Stage Venture,2016-01-27,"$10,000,000","$13,700,000"
PuzzleSocial,https://www.crunchbase.com/organization/puzzlesocial,Mobile,"New York, New York, United States","PuzzleSocial is the maker of Daily Celebrity Crossword, the world's most-solved and top grossing daily digital crossword puzzle.","15,240",http://www.puzzlesocial.com,http://www.linkedin.com/company/puzzlesocial-inc,info@puzzlesocial.com,917-261-2554,Jeb Balise,11-50,4,M&A,2014-12-22,"$3,000,000","$4,700,000"
N Toggle,https://www.crunchbase.com/organization/n-toggle,"Machine Learning, Software","Boston, Massachusetts, United States",NToggle is a proprietary algorithm-driven software platform that offers efficiency and transparency in programmatic advertising.,"15,345",http://www.ntoggle.com/,https://www.linkedin.com/company/ntoggle-inc,info@ntoggle.com,(617) 235-7260,"Adam Soroca, Ben Gordon, Shrikanth Mysore",11-50,1,M&A,2015-02-03,"$5,600,000","$5,600,000"
GreenSight Agronomics,https://www.crunchbase.com/organization/greensight-agronomics,"Agriculture, Drones, Robotics, Sustainability, Water","Boston, Massachusetts, United States",GreenSight Provides an Autonomous Intelligence Platform for High-End Agriculture and Golf Courses,"15,426",http://greensightag.com,https://www.linkedin.com/company/greensight-agronomics,info@greensightag.com,,"James Peverill, Joel Pedlikin",11-50,3,Early Stage Venture,2017-09-01,"$2,500,000","$3,600,000"
Direct Match,https://www.crunchbase.com/organization/direct-match-llc,"Financial Exchanges, Financial Services, FinTech","New York, New York, United States",Direct Match was a venture-backed startup building the first all-to-all US Treasury trading venue.,"15,497",http://www.directmatch.com,https://www.linkedin.com/company/4867735,info@directmatch.com,(917)819-6582,"James Greco, Kristi Neller",11-50,2,Early Stage Venture,2016-01-07,"$6,000,000","$9,000,000"
Smart Vision Labs,https://www.crunchbase.com/organization/smart-vision-labs,"Hardware, Internet of Things, mHealth, Software","New York, New York, United States",We're building a better way to do vision exams. Our goal is to make vision care accessible to everyone.,"15,527",http://smartvisionlabs.com,https://www.linkedin.com/company/smart-vision-labs,info@smartvisionlabs.com,(212) 796-6124,"Marc Albanese, Yaopeng Zhou",11-50,1,Early Stage Venture,2015-06-22,"$6,100,000","$6,100,000"
Wildcard,https://www.crunchbase.com/organization/wildcard,Mobile,"New York, New York, United States",Wildcard offers a vast library of cards that delivers the mobile web faster than any browser on users' mobile phones.,"15,810",http://www.trywildcard.com,,contact@trywildcard.com,917-750-9033,"Doug Petkanics, Eric Tang, Jordan Cooper",11-50,2,Early Stage Venture,2014-08-06,"$7,000,000","$10,000,000"
Derby Games,https://www.crunchbase.com/organization/derbyjackpot,Gambling,"New York, New York, United States",Derby Games is an american online gambling company.,"15,912",https://derbyjackpot.com/,,,5743448570,"Billy Hessert, Eric Gay, Tom Hessert, Walter Hessert",1-10,2,Early Stage Venture,2015-02-04,"$6,500,000","$6,500,000"
Agronomic Technology Corp,https://www.crunchbase.com/organization/agronomic-technology,"Agriculture, Big Data, Farming, Software, Sustainability","New York, New York, United States",Agronomic Technology (dba Adapt-N) cloud-based recommendation platform for farmers and agronomists.,"16,050",http://www.adapt-n.com,http://www.linkedin.com/company/agronomic-technology-corp,info@agronomic.com,(866) 208-3276,"Greg Levow, Holly Trytten, Steven Sibulkin",1-10,2,M&A,2014-10-08,"$2,495,000","$2,745,000"
Appinions,https://www.crunchbase.com/organization/appinions,"Social Media, Software","New York, New York, United States","Appinions provide modules to identify, analyze, monitor and engage with influencers across social and traditional media of business.","16,136",http://www.appinions.com,http://www.linkedin.com/company/1608077,info@appinions.com,+1 (646) 562-3062,Larry Levy,11-50,3,M&A,2013-05-01,"$2,600,000","$5,600,000"
3Derm Systems,https://www.crunchbase.com/organization/3derm-systems,"3D Technology, Medical","Boston, Massachusetts, United States","3Derm is a cost-effective, skin imaging system that allows non-dermatologists to take clinical-quality 3D skin images remotely.","16,174",http://3derm.com,https://www.linkedin.com/company/3derm-systems,team@3derm.com,7033000700,"Elizabeth Asai, Elliot Swart",11-50,6,Early Stage Venture,2016-08-01,,"$3,535,709"
Objective Logistics,https://www.crunchbase.com/organization/objective-logistics,"Analytics, Big Data, Software","Boston, Massachusetts, United States","Objective Logistics is a company that helps lift sales and improve the guest experience in restaurants, retail stores and other industries.","16,248",http://www.objectivelogistics.com,http://www.linkedin.com/company/objective-logistics-llc,contact@objectivelogistics.com,617-863-6873,"Dan Velcea, Matthew R. Grace, Philip H. Beauregard",11-50,4,M&A,2013-07-18,"$5,300,000","$9,000,000"
Seaters,https://www.crunchbase.com/organization/seaters,"Android, iOS, Mobile, Music, SaaS, Sports","New York, New York, United States","Seaters, the first global solution to optimize the occupation rate of sports and music events, helping unlock the true ROI of every seat.","16,292",http://www.seaters.com,http://www.linkedin.com/company/smartseats,info@seaters.com,,Jean-Sebastien Gosuin,11-50,4,Early Stage Venture,2017-03-13,"$3,000,000","$11,000,000"
Koko,https://www.crunchbase.com/organization/koko-3,"Artificial Intelligence, Cloud Infrastructure, Information Technology, Machine Learning, SaaS","New York, New York, United States", AI Powered Community Moderation,"16,439",https://koko.ai/,https://www.linkedin.com/company/kokoai/,hello@koko.ai,,"Fraser Kelton, Kareem Kouddous, Robert R. Morris",1-10,1,Early Stage Venture,2016-08-09,"$2,500,000","$2,500,000"
Petra Pharma Corporation,https://www.crunchbase.com/organization/petra-pharma-corporation,"Health Care, Pharmaceutical, Therapeutics","New York, New York, United States",Petra Pharma is a drug development company focused on therapies for serious medical conditions such as cancer and metabolic diseases.,"16,563",http://petrapharmacorp.com/,,info@petrapharmacorp.com,(646)828-5990,"Lewis Cantley, Nathanael Gray",1-10,1,Early Stage Venture,2016-01-06,"$48,000,000","$48,000,000"
BeneStream,https://www.crunchbase.com/organization/benestream,"Health Care, Medical, SaaS, Software","New York, New York, United States","BeneStream, a SaaS-based company, provides medical aid solutions that help employers make choices in complying with the Affordable Care Act.","16,664",http://benestream.com,http://www.linkedin.com/company/benestream,Info@BeneStream.com,(877) 828-9887,Benjamin Geyerhahn,11-50,5,Early Stage Venture,2015-09-29,"$2,000,000","$9,590,000"
Abine,https://www.crunchbase.com/organization/abine,"Ad Network, FinTech, Privacy","Boston, Massachusetts, United States",Abine provides internet privacy solutions for consumers.,"16,668",http://www.abine.com,https://www.linkedin.com/company/1726842?,info@abine.com,(617) 345-0024,"Andrew Sudbury, Eugene Kuznetsov, Jeff Fagnan, Rob Shavell",11-50,1,Early Stage Venture,2011-07-12,"$6,467,283","$6,467,283"
Locality,https://www.crunchbase.com/organization/locality,"Big Data, Search Engine","New York, New York, United States","Centzy is an information platform providing a local marketplace that compares prices, hours and reviews on local services in the U.S.","16,844",http://locality.com,,jobs@locality.com,,"Jay Shek, Jeremy Clemenson",1-10,5,Early Stage Venture,2013-11-21,"$4,300,000","$6,725,000"
BETTER PT INC,https://www.crunchbase.com/organization/betterpt-inc,,"New York, New York, United States",The 'OpenTable' of physical therapy.,"16,874",http://www.betterpt.com,,info@betterpt.com,(212)634-7833,"Greg Peters, Stephen Fealy, MD",11-50,3,Early Stage Venture,2018-04-01,,"$3,000,000"
"Starburst Labs, Inc.",https://www.crunchbase.com/organization/gotham-tech-labs-inc,"Apps, Enterprise Software, Finance, FinTech, Information Technology, Internet","New York, New York, United States","Starburst Labs makes and operates web-and-mobile apps for investors, advisors, broker-dealers, and financial brands.","17,027",http://www.StarburstLabs.com,https://www.linkedin.com/company/15209069,,,John Rourke,1-10,3,Early Stage Venture,2017-01-17,"$6,250,000","$10,250,000"
New Valence Robotics Corporation (NVBOTS),https://www.crunchbase.com/organization/nvbots,"3D Printing, 3D Technology, Education, Industrial, Manufacturing, Robotics","Boston, Massachusetts, United States",NVBOTS® provides automated 3D printing solutions.,"17,158",http://nvbots.com,https://www.linkedin.com/company-beta/3793655/?pathWildcard=3793655,info@nvbots.com,+1 (857) 317-3130,"AJ Perez, Christopher Haid, Forrest Pieper, Mateo Peña Doll",11-50,3,M&A,2016-08-22,"$2,337,166","$5,337,166"
ACT.md,https://www.crunchbase.com/organization/act-md,"Health Care, Information Technology, Software","Boston, Massachusetts, United States",ACT.md simplifies complex care for everyone involved.,"17,238",http://act.md,https://www.linkedin.com/company/act-md,info@act.md,(855) 632-2863,"Ken Mandl, Ted Quinn, Ted Quinn, Zak Kohane",11-50,1,Early Stage Venture,2015-07-21,"$8,400,000","$8,400,000"
scriptr.io,https://www.crunchbase.com/organization/scriptr-io,"Apps, Internet of Things, Software","New York, New York, United States",Scriptr is a powerful cloud service that simplifies the connection of IoT devices to the Internet.,"17,276",http://scriptr.io,https://www.linkedin.com/company/scriptr-io,info@scriptr.io,,Rabih Nassar,11-50,3,Early Stage Venture,2017-03-08,"$5,000,000","$9,000,000"
Constant Therapy,https://www.crunchbase.com/organization/constant-therapy,"Education, Health Care, iOS, Medical","Boston, Massachusetts, United States",Constant Therapy is a cloud-based mobile solution designed to improve the brain function for stroke and brain injury survivors.,"17,342",http://www.constanttherapy.com,https://www.linkedin.com/company/constant-therapy,support@constanttherapy.com,+118882331399,"Swathi Kiran, Veera Anantha",11-50,2,M&A,2016-03-10,"$2,000,000","$2,740,000"
"Boxbee, Inc.",https://www.crunchbase.com/organization/boxbee,"Logistics, Self-Storage, Service Industry","New York, New York, United States",Our Software Powers Full-Service Storage.,"17,365",,http://www.linkedin.com/company/boxbee,,,Kristoph Matthews,1-10,3,M&A,2014-12-16,"$5,000,000","$7,300,000"
Nimble TV,https://www.crunchbase.com/organization/nimble-tv,"Enterprise Software, Media and Entertainment, TV","New York, New York, United States",NimbleTV provides a cloud-based solution to watch authenticated linear TV anywhere in the world.,"17,379",http://nimbletv.com,,questions@nimbletv.com,13474711174,Anand Subramanian,11-50,2,M&A,2012-09-14,"$4,500,000","$6,150,000"
VYou,https://www.crunchbase.com/organization/vyou,"Human Computer Interaction, Web Browsers","New York, New York, United States","VYou is an app allowing its users to get advice from experts, interact with celebrities and organizations, and communicate with friends.","17,408",http://vyou.com,,,,"Chuck Reina, Sergey Novgorodsky, Steve Spurgat",11-50,1,Early Stage Venture,2011-05-23,"$3,000,000","$3,000,000"
Owl's Brew,https://www.crunchbase.com/organization/owl-s-brew,Craft Beer,"New York, New York, United States","Brew Lab Tea creates all natural looseleaf tea blends, carefully crafted in NYC. Flavor is Knowledge.","17,473",http://theowlsbrew.com,https://www.linkedin.com/company-beta/5118230/,SALES@THEOWLSBREW.COM,+1 (646) 543-0126,Jennie Ripps,11-50,4,Early Stage Venture,2017-06-04,"$1,700,000","$4,438,700"
Cirina,https://www.crunchbase.com/organization/cirina,Biotechnology,"New York, New York, United States",At Cirina we are pioneering products that detect cancer at its earliest stages and empower you to take action.,"17,515",http://www.cirina.com/,https://www.linkedin.com/company/cirina,joinus@cirina.com,415) 722-2129,Dennis Lo,11-50,1,Early Stage Venture,2016-10-25,"$12,000,000","$12,000,000"
"Deep Information Sciences, Inc.",https://www.crunchbase.com/organization/deep-information-sciences-inc,"Analytics, Big Data, Cloud Infrastructure, Internet of Things, Software","Boston, Massachusetts, United States","Deep has built the world’s only adaptive MySQL database designed for complex, data-intensive physical, virtual and cloud environments.","17,783",http://www.deepis.com,http://www.linkedin.com/company/deep-information-sciences,info@deepis.com,,"Jason Jeffords, Thomas Hazel",11-50,2,Early Stage Venture,2015-04-22,"$8,000,000","$18,000,000"
Dispel,https://www.crunchbase.com/organization/dispel,"Internet, Privacy, Security","New York, New York, United States","We are a cybersecurity firm specializing in high speed, anonymous, encrypted communication and collaboration systems.","17,806",https://dispel.io,https://www.linkedin.com/company/dispel/,,917.268.4390,Ethan Schmertzler,11-50,2,Early Stage Venture,2015-08-05,"$1,500,000","$3,000,000"
"Copatient, Inc.",https://www.crunchbase.com/organization/copatient,"Enterprise Software, Health Care","Boston, Massachusetts, United States",Paying for Healthcare Should be Easy,"17,843",http://www.copatient.com,http://www.linkedin.com/company/2679096,contactus@copatient.com,(888)702-2330,"Katie Vahle, Rebecca Palm",11-50,2,Early Stage Venture,2014-06-25,"$3,600,000","$4,653,679"
Coherent Path,https://www.crunchbase.com/organization/coherent-path,"Analytics, Big Data, Digital Marketing, Email Marketing, Personalization, SaaS","Boston, Massachusetts, United States",Coherent Path provides personalization and predictive analytics solutions that enable retailers to focus engagement around strategic goals.,"18,106",http://www.coherentpath.com,http://www.linkedin.com/company/3166504,info@coherentpath.com,1(617)299-8512,"Greg Leibon, James Glover",11-50,2,Early Stage Venture,2014-06-24,"$6,250,000","$7,045,000"
2020 On-site Optometry,https://www.crunchbase.com/organization/project-2020,"Eyewear, Health Care","Boston, Massachusetts, United States",2020 delivers on-site eye care and comprehensive eye exams to businesses and their employees via a state-of-art mobile eye clinic.,"18,164",http://www.2020onsite.com,https://www.linkedin.com/company/project-2020,info@project2020.com,6102172633,Howard Bornstein,11-50,3,Early Stage Venture,2016-07-11,"$3,000,000","$7,714,965"
MyCityWay,https://www.crunchbase.com/organization/my-city-way,"Location Based Services, Mobile","New York, New York, United States","MyCityWay is a mobile 2.0 platform that enables marketers to engage, retain and monetize their customers.","18,305",http://mycityway.com,http://www.linkedin.com/company/1017631,info@mycityway.com,29417363,"Archana Patchirajan, Puneet Mehta, Sonpreet Bhatia",11-50,2,Early Stage Venture,2011-02-25,"$5,000,000","$6,000,000"
Shareaholic,https://www.crunchbase.com/organization/shareaholic,"Advertising, Analytics, Big Data, Content, Content Discovery, Developer Tools, Email Marketing, Mobile","Boston, Massachusetts, United States","The world's leading all-in-one Content Amplification Platform that helps grow your website traffic, engagement, conversions & monetization.","18,590",https://shareaholic.com,http://www.linkedin.com/company/shareaholic-inc,corp@shareaholic.com,,Jay Meattle,11-50,4,Early Stage Venture,2014-10-01,"$2,300,000","$7,755,000"
Distractify,https://www.crunchbase.com/organization/distractify,"Media and Entertainment, News, Social Media","New York, New York, United States",Distractify creates and covers what's trending on the internet.,"18,655",http://distractify.com,http://www.linkedin.com/company/distractify,contact@distractify.com,,Quinn Hu,11-50,1,Early Stage Venture,2014-06-23,"$7,000,000","$7,000,000"
Devpost,https://www.crunchbase.com/organization/devpost,"Developer APIs, Developer Tools","New York, New York, United States","Devpost is the home for hackers. Get an inside look at the best dev teams, find jobs you'll love, and improve your skills at hackathons.","18,797",http://devpost.com/,https://www.linkedin.com/company/1921998/,info@devpost.com,,Brandon Kessler,11-50,1,Early Stage Venture,2011-08-09,"$4,100,000","$4,100,000"
nCrypted Cloud,https://www.crunchbase.com/organization/ncrypted-cloud,"Collaboration, Enterprise Software, Privacy, Security","Boston, Massachusetts, United States","nCrypted provides security solutions for cloud storage services such as Dropbox, Google Drive, and SkyDrive.","18,914",http://www.ncryptedcloud.com,http://www.linkedin.com/company/2869513,t@ncryptedcloud.com,617.520.4120,"Igor Odnovorov, Nicholas Stamos",11-50,4,Early Stage Venture,2014-10-27,"$5,000,000","$9,250,000"
BioDigital,https://www.crunchbase.com/organization/biodigital,"3D Technology, Biotechnology","New York, New York, United States","BioDigital offers BioDigital Human Platform, a tool that simplifies complex health concepts through visualization.                    ","18,936",http://biodigitalhuman.com,http://www.linkedin.com/company/80062,info@biodigital.com,6462052277,Frank Sculli,11-50,2,Early Stage Venture,2013-09-24,"$4,000,000","$4,450,000"
WegoWise,https://www.crunchbase.com/organization/wegowise,"Analytics, Big Data, Energy Efficiency","Boston, Massachusetts, United States",WegoWise is a web-based utility analytics platform that integrates big data with energy efficiency for the building performance industry.,"18,941",http://www.wegowise.com,https://www.linkedin.com/company/1031367,info@wegowise.com,(617)367-9346,"Barun Singh, DeWitt Jones, Edward Connelly",11-50,2,Early Stage Venture,2013-05-14,"$3,000,000","$4,900,000"
itopia,https://www.crunchbase.com/organization/itopia,Cloud Computing,"Miami, Florida, United States",itopia offers infrastructure technology that enables its users to access their PCs' files through other devices.,"19,239",http://www.itopia.com,http://www.linkedin.com/company/2746017,jlieberman@itopia.us,(786) 544-6800,"Jonathan Lieberman, Ubaldo Don",11-50,2,Early Stage Venture,2017-06-30,"$2,000,000","$5,500,000"
 LUX Fund Technology and Solutions (LUX FTS),https://www.crunchbase.com/organization/lux-fund-technology-and-solutions-lux-fts,IT Management,"New York, New York, United States",Deploys disruptive business technology systems for the alternative asset management industry.,"19,511",http://luxfts.com/,https://www.linkedin.com/company/2995211/,info@luxfts.com,(646) 653-5891,"Jennifer  Lui, Mark  Christine, Nik  Takmopoulos, Patrick  Kehoe",11-50,1,Early Stage Venture,2017-12-08,"$6,000,000","$6,000,000"
Visual Revenue,https://www.crunchbase.com/organization/visual-revenue,"Analytics, Enterprise Software, Predictive Analytics, Real Time, SaaS","New York, New York, United States",Visual Revenue is a real-time predictive analytics platform developing a suite of tools providing decision support for editors content.,"19,721",http://visualrevenue.com,http://www.linkedin.com/company/visual-revenue-inc,hello@visualrevenue.com,212-506-6700,"Alex Poon, Charlie Holbech, Dennis Mortensen, Tejaswi Nadahalli",11-50,2,M&A,2012-01-26,"$1,700,000","$2,212,000"
HelloTeam,https://www.crunchbase.com/organization/betterskills-inc,Human Resources,"Boston, Massachusetts, United States","Engagement & talent management platform designed to increase employee engagement, impact retention and create data-driven people strategies.","19,741",https://www.helloteam.com,https://www.linkedin.com/company/15216183/,team@helloteam.com,(857) 263-3936,Tanya Bakalov,11-50,1,Early Stage Venture,2018-01-10,"$2,700,000","$2,700,000"
Causemo,https://www.crunchbase.com/organization/causemo,"Big Data, E-Commerce, Internet, Mobile, Social Media","Boston, Massachusetts, United States","Your simplest way to acquire, keep & grow donors online.","19,870",http://www.causemo.com,https://www.linkedin.com/company/causemo,info@causemo.com,(844) 228-7366,"Bret Siarkowski, Dave Furneaux, Josh Hoffman-Senn, Keith Ablow, Nick Bogovich, Nick Burt",11-50,1,Early Stage Venture,2015-08-25,"$4,000,000","$4,000,000"
Agilis Biotherapeutics,https://www.crunchbase.com/organization/agilis-biotherapeutics,"Biotechnology, Health Care, Therapeutics","New York, New York, United States",Agilis Biotherapeutics is focused on designing and engineering DNA-based therapeutics for life-threatening or fatal rare diseases.,"19,972",http://www.agilisbio.com,,info@agilisbio.com,214-706-4340,,1-10,1,Early Stage Venture,2014-01-01,"$8,000,000","$8,000,000"
EarlyShares,https://www.crunchbase.com/organization/earlyshares,"Crowdfunding, Finance, FinTech","Miami, Florida, United States",EarlyShares is a real estate crowdfunding platform that connects return-driven commercial real estate investments.,"20,090",http://www.earlyshares.com,http://www.linkedin.com/company/earlyshares-com,info@earlyshares.com,(858) 683-7100,"Heather Schwarz, Joanna Schwartz, Renee Caputi, Steve Temes",11-50,2,Early Stage Venture,2014-07-01,"$4,700,000","$5,850,000"
Powerlinx,https://www.crunchbase.com/organization/powerlinx,"B2B, Business Development, Small and Medium Businesses","New York, New York, United States","Powerlinx offers a business platform that connects companies to new markets, growth opportunities, strategic partnerships, and one another.","20,237",http://powerlinx.com,http://www.linkedin.com/company/powerlinx-inc-,info@powerlinx.com,15555555555,"Chrsitine Christian, David Emery, Doron Cohen, Steven Alesio, Steven Alesio",11-50,2,Early Stage Venture,2016-07-27,"$7,000,000","$9,400,000"
Tiggly,https://www.crunchbase.com/organization/tiggly,"Apps, Education, Hardware, Software, Toys","New York, New York, United States",Tiggly develops physical toys that interact with learning apps on iPads and other tablets.,"20,258",http://tiggly.com,http://www.linkedin.com/company/tiggly,team@tiggly.com,6178031456,"Azadeh (Azi) Jamalian, Bart Clareman, Phyl Georgiou",11-50,4,Early Stage Venture,2014-09-23,"$4,000,000","$5,000,000"
SweepBright,https://www.crunchbase.com/organization/sweepbright,"Property Management, Real Estate, Real Estate Investment, SaaS","New York, New York, United States",The technological backbone that brings your real estate business to life,"20,759",http://www.sweepbright.com,,hello@sweepbright.com,(646) 887 0009,"Raphael Bochner, Yoram Speaker",1-10,1,Early Stage Venture,2017-03-31,"€1,500,000","€1,500,000"
Personal.com,https://www.crunchbase.com/organization/personal,"Android, Mobile, Security","Washington, District of Columbia, United States",Securely store and share your personal data,"20,814",http://tutorialshubs.com/,https://www.linkedin.com/company/personal-inc.,doug@personal.com,(202) 499-4040,Jennifer O'Keefe,11-50,6,Early Stage Venture,2015-06-01,"$4,253,142","$26,275,434"
Pingup,https://www.crunchbase.com/organization/pingup,"Mobile, Real Time, Social Media","Boston, Massachusetts, United States",Pingup unlocks the power of instant appointment scheduling. Our API lets publishers enhance business listings by adding booking features.,"20,817",http://pingup.com,http://www.linkedin.com/company/pingup,mark@pingup.com,(617) 752-1691,"Mark Slater, Milenko Beslic",1-10,1,Early Stage Venture,2012-11-20,"$4,000,000","$4,000,000"
ArtBinder,https://www.crunchbase.com/organization/artbinder,Software,"New York, New York, United States","ArtBinder is the leading application for galleries that allows users to present artworks remotely with simple, intuitive tools.","20,962",http://artbinder.com,http://www.linkedin.com/company/artbinder,,16464959964,Alexandra Chemla,11-50,1,Early Stage Venture,2014-07-01,"$3,200,000","$3,200,000"
turntable.fm,https://www.crunchbase.com/organization/turntable-fm,"Music, Social Media","New York, New York, United States",Turntable.fm brings the social value of music to the digital music experience by letting people experience and discover music together.,"21,215",http://turntable.fm,,,646-820-3321,Billy Chasen,1-10,1,Early Stage Venture,2011-09-13,"$7,000,000","$7,000,000"
Optio Labs,https://www.crunchbase.com/organization/optio-labs,Software,"Boston, Massachusetts, United States","The advent of mobile computing is revolutionizing the existing IT paradigm, but not without introducing a new breed of difficult problems","21,390",http://optiolabs.com,http://www.linkedin.com/company/optio-labs,info@alliedminds.com,6174191800,"BRIAN DOUGHERTY, Charles Clancy, JULES WHITE",11-50,1,Early Stage Venture,2014-03-06,"$10,000,000","$10,000,000"
Retroficiency,https://www.crunchbase.com/organization/retroficiency,"Clean Energy, CleanTech, Energy Efficiency","Boston, Massachusetts, United States",Retroficiency offers a building efficiency intelligence platform that delivers actionable insights for energy service providers.,"21,391",http://retroficiency.com,http://www.linkedin.com/company/retroficiency-inc.,info@retroficiency.com,8577534840,"Bennett Fisher, Bryan Long",11-50,1,M&A,2011-11-30,"$7,340,000","$7,340,000"
BoardVitals,https://www.crunchbase.com/organization/boardvitals,Health Care,"New York, New York, United States","Founded in 2013, Board Vitals helps physicians prepare for Medical boards, Re-certifcation exams (MOC), and In-service Exams.","21,859",http://www.boardvitals.com,http://www.linkedin.com/company/board-vitals-llc,help@boardvitals.com,3525198831,"Andrea Paul, Daniel Lambert",11-50,3,Early Stage Venture,2015-07-29,"$1,100,000","$1,620,000"
BuroHQ,https://www.crunchbase.com/organization/burohq,"Angel Investment, Bitcoin, Coworking, Cryptocurrency, Events, Hospitality, Property Development, Real Estate, Venture Capital","New York, New York, United States","NYC's workspace, community, IR for Crypto & Blockchain startups, and Fin-, Fashion, Media, Ad-Tech entrepreneurs with Bitcoin/Ethereum/Coin","21,939",http://www.burohq.com,https://www.linkedin.com/company/BuroHQ/,ms@burohq.com,+19175824244,Manana Samuseva,11-50,1,Early Stage Venture,2017-05-10,"$8,000,000","$8,000,000"
User1st,https://www.crunchbase.com/organization/user1st,"Internet, Software, UX Design, Web Development","Washington, District of Columbia, United States",User1st Ltd. provides a cloud-based service designed to make any website accessible without changing the existing codebase.,"22,038",http://www.user1st.com,https://www.linkedin.com/company/user1st,sales@user1st.com,97286466870,"Amihai Miron, Yossi Fessler",11-50,2,Early Stage Venture,2016-08-25,"$3,000,000","$5,000,000"
"Assessment Innovation, Inc.",https://www.crunchbase.com/organization/assessment-innovation,"Enterprise Applications, Human Resources, Mobile Apps, Psychology, Recruiting, Skill Assessment, Social Recruiting","New York, New York, United States",Mobile recruiting solutions that help hiring organizations find better talent,"22,241",http://www.assessmentinnovation.com/,https://www.linkedin.com/company/3532357?trk=prof-exp-company-name,,,"Christopher Camacho, PhD, Kevin Greaney, Mark DeRugeriis, Mark Elliott, PhD",1-10,2,Early Stage Venture,2017-03-01,,"$3,000,000"
Startup Institute,https://www.crunchbase.com/organization/startup-institute,"Education, Professional Services","Boston, Massachusetts, United States","Startup Institute's program will give you the skills, mindset, and network to find a job you love, doing work that matters.","22,358",http://www.startupinstitute.com/,http://www.linkedin.com/company/startup-institute,info@startupinstitute.com,888-425-5557,"Aaron O'Hearn, Katie Rae, Reed Sturtevant, Shaun Johnson",11-50,2,Early Stage Venture,2014-09-15,"$3,000,000","$4,300,000"
Handwriting.io (Gracious Eloise Inc.),https://www.crunchbase.com/organization/gracious-eloise,"CRM, Digital Media, SaaS, Software","New York, New York, United States","Handwriting.io, offers a patented API that enables brands to easily incorporate the company’s propriet","22,603",http://handwriting.io,http://www.linkedin.com/company/1142902,info@handwriting.io,(212)242-0322,"Eloise Bune, Trey Stout",1-10,3,Early Stage Venture,2015-02-27,"$3,210,924","$4,447,626"
TuckerNuck,https://www.crunchbase.com/organization/tuckernuck,"E-Commerce, Fashion, Retail","Washington, District of Columbia, United States",Tuckernuck is an online boutique that puts a fresh spin on classic American style.,"22,697",http://tnuck.com/#,http://www.linkedin.com/company/tuckernuck,stayclassy@tnuck.com,+1 (888) 501-8101,"Jocelyn Gailliot, Jocelyn Gailliot, Madeline Grayson, September Rinnier",11-50,2,Early Stage Venture,2015-10-02,"$3,077,011","$3,077,011"
